decimalLongitude,decimalLatitude,wc2.1_10m_bio_1,wc2.1_10m_bio_2,wc2.1_10m_bio_3,wc2.1_10m_bio_4,wc2.1_10m_bio_5,wc2.1_10m_bio_6,wc2.1_10m_bio_7,wc2.1_10m_bio_8,wc2.1_10m_bio_9,wc2.1_10m_bio_10,wc2.1_10m_bio_11,wc2.1_10m_bio_12,wc2.1_10m_bio_13,wc2.1_10m_bio_14,wc2.1_10m_bio_15,wc2.1_10m_bio_16,wc2.1_10m_bio_17,wc2.1_10m_bio_18,wc2.1_10m_bio_19,presence
73.78793740156107,34.44254964240827,13.218552589416504,11.114396095275879,37.186195373535156,731.75872802734375,27.6877498626709,-2.2007501125335693,29.888500213623047,8.147958755493164,9.8777923583984375,21.776958465576172,3.7145416736602783,900,118,22,44.866825103759766,313,103,288,191,0
71.64788539987057,35.44216199521907,13.237176895141602,11.669395446777344,34.71588134765625,849.10662841796875,31.006999969482422,-2.6070001125335693,33.61399841308594,7.0316667556762695,14.447166442871094,23.761667251586914,2.7675833702087402,585,115,19,67.71065521240234,291,67,76,152,0
60.067121759522706,30.373811286874115,17.919437408447266,14.73379135131836,39.507667541503906,861.3045654296875,36.14025115966797,-1.153249979019165,37.29350280761719,8.795833587646484,28.142166137695313,28.142166137695313,6.828249931335449,105,25,1,88.9979019165039,64,3,3,54,0
74.15957336430438,31.777488245861605,23.45106315612793,13.232417106628418,37.67959976196289,766.61102294921875,40.06949996948242,4.951250076293945,35.118247985839844,29.953125,18.868541717529297,31.736957550048828,13.23075008392334,492,135,5,108.81570434570313,319,23,194,58,0
60.12468049698509,32.716718099080026,16.287385940551758,15.98885440826416,40.93959045410156,880.20556640625,35.66524887084961,-3.3894999027252197,39.05474853515625,6.848207950592041,26.903125762939453,26.903125762939453,5.039416313171387,161,38,0,98.427734375,99,1,1,82,0
63.53020253800787,29.425734226126224,18.455833435058594,15.062541007995605,39.51219177246094,875.230712890625,37.58649826049805,-0.5347499847412109,38.121246337890625,9.24291706085205,27.89641571044922,28.91637420654297,7.298500061035156,72,20,0,94.760711669921875,47,3,4,45,0
75.41222393256612,34.20646255090833,-1.819218635559082,10.6571044921875,28.885738372802734,973.7232666015625,15.834250450134277,-21.059749603271484,36.89400100708008,-9.453499794006348,-5.344708442687988,9.52066707611084,-14.046833038330078,490,72,14,45.94520950317383,195,67,106,144,0
70.4002369386144,33.572290350915864,17.42896842956543,12.439562797546387,36.920318603515625,786.726806640625,33.451499938964844,-0.24150000512599945,33.69300079345703,25.409791946411133,13.258708000183105,26.526958465576172,7.298250198364258,585,91,12,56.711307525634766,221,51,213,106,0
66.45250708912499,35.0053691631183,3.030937671661377,12.657625198364258,32.43715286254883,960.43768310546875,22.815750122070313,-16.206249237060547,39.02199935913086,-3.189666748046875,14.706833839416504,14.706833839416504,-9.260416984558105,348,79,1,84.24351501464844,197,9,9,116,0
67.4081169445999,32.5994075848721,10.598542213439941,15.335166931152344,33.70884704589844,1069.142822265625,32.918251037597656,-12.574749946594238,45.49300003051758,-3.5078749656677246,23.313751220703125,23.313751220703125,-3.5078749656677246,234,67,0,112.07937622070313,148,0,0,148,0
60.63632755866274,33.50051522743888,19.608884811401367,15.302854537963867,38.71126937866211,924.423095703125,39.58549880981445,0.054749999195337296,39.5307502746582,10.009500503540039,29.287792205810547,30.89908218383789,7.89591646194458,177,42,0,100.24820709228516,110,0,1,90,0
76.55017853411846,35.65463626384735,-11.908187866210938,10.664124488830566,28.620454788208008,973.61102294921875,6.354499816894531,-30.9060001373291,37.260498046875,-0.3745834529399872,-21.585750579833984,-0.2901666462421417,-24.061250686645508,129,28,2,70.75286102294922,69,13,61,16,0
67.33977123117074,26.535141597501934,27.68180274963379,16.687562942504883,45.36635971069336,725.76470947265625,44.00374984741211,7.219749927520752,36.784000396728516,33.579124450683594,23.011917114257813,35.440040588378906,17.73958396911621,154,44,1,109.45123291015625,105,8,59,18,0
76.27880214294419,36.76807166589424,-7.922614574432373,12.389062881469727,33.342472076416016,906.42779541015625,10.708749771118164,-26.44824981689453,37.15699768066406,2.9613749980926514,-17.056459426879883,2.9613749980926514,-19.102041244506836,95,20,1,70.680633544921875,47,7,47,9,0
75.09183339355513,34.57508497964591,1.9969373941421509,11.615249633789063,30.564035415649414,992.380859375,20.390499114990234,-17.612499237060547,38.00299835205078,0.15337496995925903,4.91254186630249,13.484957695007324,-10.563124656677246,650,97,18,49.42442321777344,267,82,120,181,0
70.87963908095844,31.555857688188553,24.3465518951416,14.5703125,39.18647003173828,819.3355712890625,41.47200012207031,4.289999961853027,37.18199920654297,31.875125885009766,19.396625518798828,33.168582916259766,13.457124710083008,226,55,2,85.72327423095703,123,11,121,31,0
76.50643237610348,30.827939743408933,23.42230224609375,12.642895698547363,38.76197052001953,706.66827392578125,38.85475158691406,6.23799991607666,32.61675262451172,28.769500732421875,25.984790802001953,31.11370849609375,13.899999618530273,898,280,6,123.1253662109375,664,53,344,90,0
70.52024952461943,36.032335709780455,-1.952625036239624,9.704291343688965,30.806787490844727,808.1121826171875,14.130749702453613,-17.369749069213867,31.500499725341797,-8.275083541870117,7.604499816894531,7.924375057220459,-11.685874938964844,864,175,11,76.92330169677734,450,56,67,277,0
65.89472021954134,33.40267990878783,5.517614841461182,13.795937538146973,33.30521774291992,992.0509033203125,26.52375030517578,-14.89900016784668,41.422752380371094,-5.985249996185303,17.508750915527344,17.508750915527344,-7.3572916984558105,288,68,0,90.6220932006836,158,2,2,149,0
66.77425199421123,29.91449336335063,19.089082717895508,15.65808391571045,42.849552154541016,822.39886474609375,37.27775192260742,0.7357500195503235,36.5420036315918,10.515417098999023,18.805208206176758,28.866458892822266,8.582916259765625,180,37,3,80.3490219116211,103,13,24,93,0
73.33977718674578,33.83752553490922,15.54283332824707,11.1847505569458,37.69780349731445,670.81768798828125,30.10675048828125,0.4372499883174896,29.66950035095215,22.088958740234375,12.185375213623047,23.20833396911621,6.73870849609375,1028,183,21,59.776344299316406,447,97,435,195,0
72.72952156490646,33.0142713082023,22.338363647460938,14.461520195007324,38.95463943481445,788.0020751953125,40.14699935913086,3.0230000019073486,37.124000549316406,29.280792236328125,17.577333450317383,30.79341697692871,11.865041732788086,531,140,6,88.9791259765625,304,32,162,87,0
71.51370611321181,25.898755760630593,27.063947677612305,15.541770935058594,45.47868347167969,587.112548828125,42.43199920654297,8.25825023651123,34.17374801635742,30.32670783996582,23.408750534057617,33.242584228515625,18.839040756225586,261,111,2,154.12704467773438,216,6,100,8,0
62.91149361664429,27.229079686803743,20.560832977294922,13.575833320617676,40.348426818847656,775.41064453125,36.50849914550781,2.861999988555908,33.64649963378906,12.25683307647705,20.551708221435547,29.535791397094727,10.501333236694336,82,21,0,89.25110626220703,52,3,10,48,0
64.4384953849949,27.48193778982386,22.434009552001953,15.091937065124512,42.31463623046875,793.261962890625,39.39699935913086,3.7309999465942383,35.66600036621094,13.936041831970215,22.389875411987305,31.49275016784668,12.055124282836914,101,19,2,69.77745819091797,54,8,21,44,0
68.74501988920383,31.632349126506597,15.170812606811523,13.590666770935059,36.26401901245117,899.3150634765625,33.02799987792969,-4.448999881744385,37.47700119018555,5.213624954223633,15.992166519165039,25.750709533691406,3.4678332805633545,245,44,3,65.62560272216797,114,13,48,96,0
71.48532366682775,27.62209229893051,27.140209197998047,16.051042556762695,43.76531982421875,718.476318359375,43.26100158691406,6.585750102996826,36.67525100708008,33.75020980834961,24.923582077026367,34.68808364868164,17.089624404907227,151,53,1,133.4954833984375,118,6,77,7,0
76.7078923645895,27.189925462007523,25.32604217529297,13.994832992553711,40.587379455566406,684.19049072265625,41.441749572753906,6.960999965667725,34.480751037597656,29.456499099731445,23.488000869750977,32.78541564941406,15.916916847229004,697,252,3,149.10549926757813,593,18,254,21,0
