species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord
Prosopis cineraria,26.832458,75.786159,2025-05-15T18:10,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832458,75.786159,2025-05-15T11:20,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832339,75.786163,2025-05-15T17:59,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,25.303208,55.738963,2025-05-18T18:59:11,United Arab Emirates,Sharjah,HUMAN_OBSERVATION
Prosopis cineraria,26.831556,75.785772,2025-05-15T10:48,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832339,75.786163,2025-05-15T17:59,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832339,75.786163,2025-05-15T17:59,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,26.832339,75.786163,2025-05-15T17:59,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,11.027356,78.870673,2025-05-29T08:11:25,India,Tamil Nadu,HUMAN_OBSERVATION
Prosopis cineraria,18.871887,-71.529416,2025-05-28T09:20:39,Dominican Republic,San Juan,HUMAN_OBSERVATION
Prosopis cineraria,24.818247,56.097402,2025-05-15T07:07,United Arab Emirates,Neutral Zone,HUMAN_OBSERVATION
Prosopis cineraria,17.349056,78.448158,2025-07-11T06:03,India,Telangana,HUMAN_OBSERVATION
Prosopis cineraria,25.445384,56.276177,2025-08-23T15:09,United Arab Emirates,Fujayrah,HUMAN_OBSERVATION
Prosopis cineraria,27.810078,74.459913,2025-08-18T07:50:12,India,Rajasthan,HUMAN_OBSERVATION
Prosopis cineraria,23.02826,72.43012,2025-08-21,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,23.02826,72.43012,2025-08-07,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,23.02826,72.43012,2025-08-30,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,23.02826,72.43012,2025-08-14,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,24.421527,54.645759,2025-08-12T08:26:36,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION
Prosopis cineraria,24.949486,56.321056,2025-09-14T07:39:12,United Arab Emirates,Fujayrah,HUMAN_OBSERVATION
Prosopis cineraria,23.02826,72.43012,2025-09-25,India,NA,HUMAN_OBSERVATION
Prosopis cineraria,23.02826,72.43012,2025-09-08,India,NA,HUMAN_OBSERVATION
