species,decimalLatitude,decimalLongitude,eventDate,country,stateProvince,basisOfRecord,wc2.1_10m_bio_1,wc2.1_10m_bio_2,wc2.1_10m_bio_3,wc2.1_10m_bio_4,wc2.1_10m_bio_5,wc2.1_10m_bio_6,wc2.1_10m_bio_7,wc2.1_10m_bio_8,wc2.1_10m_bio_9,wc2.1_10m_bio_10,wc2.1_10m_bio_11,wc2.1_10m_bio_12,wc2.1_10m_bio_13,wc2.1_10m_bio_14,wc2.1_10m_bio_15,wc2.1_10m_bio_16,wc2.1_10m_bio_17,wc2.1_10m_bio_18,wc2.1_10m_bio_19,presence
Prosopis cineraria,24.530038,54.403372,2026-04-25T18:23:17,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Prosopis cineraria,24.985095,55.22693,2026-04-24T08:10:20,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.6174373626709,13.582708358764648,46.142791748046875,621.57647705078125,41.95225143432617,12.515999794006348,29.43625259399414,20.436500549316406,32.52879333496094,34.749542236328125,19.608917236328125,108,34,1,105.8300552368164,70,6,7,56,1
Prosopis cineraria,25.138283,55.85443,2026-04-05T18:39:32,United Arab Emirates,Sharjah,HUMAN_OBSERVATION,27.473020553588867,13.540291786193848,46.674163818359375,605.96978759765625,41.417999267578125,12.407750129699707,29.010250091552734,20.476999282836914,31.77950096130371,34.399417877197266,19.647249221801758,159,43,2,94.63045501708984,96,10,15,78,1
Prosopis cineraria,25.223219,55.448154,2026-04-23T18:23:35,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,29.887889,73.913478,2026-04-15T09:35,India,Rajasthan,HUMAN_OBSERVATION,25.163969039916992,14.711978912353516,40.468666076660156,789.09423828125,41.8494987487793,5.495500087738037,36.354000091552734,31.734498977661133,20.240875244140625,33.62266540527344,14.502582550048828,260,72,2,112.53079986572266,185,11,104,21,1
Prosopis cineraria,24.857647,55.289897,2026-04-24T07:00:18,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.6174373626709,13.582708358764648,46.142791748046875,621.57647705078125,41.95225143432617,12.515999794006348,29.43625259399414,20.436500549316406,32.52879333496094,34.749542236328125,19.608917236328125,108,34,1,105.8300552368164,70,6,7,56,1
Prosopis cineraria,24.959488,55.15498,2026-04-26T16:42:40,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.711444854736328,12.973234176635742,45.256282806396484,610.9986572265625,41.73100662231445,13.064857482910156,28.666149139404297,20.608224868774414,33.3464241027832,34.692893981933594,19.850645065307617,95,31,0,111.7878646850586,65,4,4,52,1
Prosopis cineraria,26.116889,73.971595,2026-04-30T20:17:59,India,Rajasthan,HUMAN_OBSERVATION,26.31238555908203,14.30789566040039,43.26613998413086,594.4471435546875,41.34049987792969,8.270999908447266,33.06949996948242,29.301334381103516,25.146709442138672,32.86712646484375,18.10391616821289,351,123,0,149.6898956298828,295,6,35,7,1
Prosopis cineraria,24.530064,54.403403,2026-04-26T18:36:28,United Arab Emirates,Abu Dhabi,HUMAN_OBSERVATION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Prosopis cineraria,25.242515,55.305589,2026-04-26T13:16:33,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.414962768554688,11.28270149230957,42.78170394897461,584.6048583984375,40.30908966064453,13.936363220214844,26.372726440429688,20.560606002807617,34.1209602355957,34.1209602355957,19.94772720336914,106,35,0,115.61170196533203,73,2,2,62,1
Prosopis cineraria,25.037755,55.138031,2026-04-27T18:02:06,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.721683502197266,11.967516899108887,43.78795623779297,595.54779052734375,41.10306167602539,13.772448539733887,27.330612182617188,20.75204086303711,34.5229606628418,34.5229606628418,20.086223602294922,96,32,0,116.1484375,67,2,2,56,1
Prosopis cineraria,21.505418,73.0361,2026-04-11T17:40,India,Gujarat,HUMAN_OBSERVATION,27.578386306762695,13.642146110534668,50.90068435668945,338.9691162109375,39.4119987487793,12.61050033569336,26.801498413085938,28.268667221069336,27.815458297729492,31.708707809448242,22.950416564941406,981,353,0,149.39474487304688,794,2,148,4,1
Prosopis cineraria,24.800083,56.109505,2026-05-06T13:40:25,United Arab Emirates,Dubay,HUMAN_OBSERVATION,26.016698837280273,11.444271087646484,41.921173095703125,604.16961669921875,39.17625045776367,11.876749992370605,27.29949951171875,22.16841697692871,26.827999114990234,32.805999755859375,18.170249938964844,207,46,3,76.467315673828125,106,16,45,78,1
Prosopis cineraria,29.912616,73.882792,2026-05-10T16:11,India,Rajasthan,HUMAN_OBSERVATION,25.163969039916992,14.711978912353516,40.468666076660156,789.09423828125,41.8494987487793,5.495500087738037,36.354000091552734,31.734498977661133,20.240875244140625,33.62266540527344,14.502582550048828,260,72,2,112.53079986572266,185,11,104,21,1
Prosopis cineraria,25.223106,55.445475,2026-05-16T17:40:40,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,25.223025,55.446305,2026-05-16T17:31:44,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,25.223706,55.443942,2026-05-16T18:00:27,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,25.224136,55.444791,2026-05-16T18:05:59,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,29.903023,73.887681,2026-05-13T08:24,India,Rajasthan,HUMAN_OBSERVATION,25.163969039916992,14.711978912353516,40.468666076660156,789.09423828125,41.8494987487793,5.495500087738037,36.354000091552734,31.734498977661133,20.240875244140625,33.62266540527344,14.502582550048828,260,72,2,112.53079986572266,185,11,104,21,1
Prosopis cineraria,24.722763,71.773833,2026-05-17T08:38:08,India,Rajasthan,HUMAN_OBSERVATION,27.56737518310547,15.144166946411133,46.36347961425781,521.009765625,42.659751892089844,9.995750427246094,32.66400146484375,29.795583724975586,20.418500900268555,33.48808288574219,20.418500900268555,388,158,1,158.90133666992188,342,4,27,4,1
Prosopis cineraria,26.167387,72.481658,2026-05-17T11:14:22,India,Rajasthan,HUMAN_OBSERVATION,26.898906707763672,14.844145774841309,44.3426513671875,599.2760009765625,42.0047492980957,8.5287504196167,33.47599792480469,30.27975082397461,19.503707885742188,33.29370880126953,18.523916244506836,291,102,2,140.7030487060547,232,7,125,8,1
Prosopis cineraria,25.22235,55.444542,2026-05-28T07:24:09,United Arab Emirates,Dubay,HUMAN_OBSERVATION,27.32109260559082,12.483570098876953,44.91035461425781,597.59783935546875,40.90594482421875,13.109302520751953,27.796642303466797,20.387123107910156,34.21623611450195,34.21623611450195,19.676313400268555,114,37,0,114.9690933227539,78,3,3,66,1
Prosopis cineraria,29.928217,73.916047,2026-05-30T15:59,India,Rajasthan,HUMAN_OBSERVATION,25.163969039916992,14.711978912353516,40.468666076660156,789.09423828125,41.8494987487793,5.495500087738037,36.354000091552734,31.734498977661133,20.240875244140625,33.62266540527344,14.502582550048828,260,72,2,112.53079986572266,185,11,104,21,1
